INSTRUMENT_TYPE;TRADE_CODE;EMITENT_FULL_NAME;NOMINAL;CURRENCY;ISSUE_AMOUNT;DISCLOSURE_PART_PAGE;DISCLOSURE_RF_INFO_PAGE
Акция обыкновенная;MFON;"Публичное акционерное общество ""МегаФон""";0,1;Рубль;620000000;http://corp.megafon.ru/investoram/;http://www.e-disclosure.ru/portal/company.aspx?id=219
Акция обыкновенная;MRKV;"Публичное акционерное общество ""Межрегиональная распределительная сетевая компания Волги""";0,1;Рубль;1,81095E+11;http://www.mrsk-volgi.ru/ru/aktsioneram_i_investoram/raskritie_informatsii_obcshestvom_i_otchetnaya_informatsiya/;http://www.e-disclosure.ru/portal/company.aspx?id=12131
Акция обыкновенная;MRKZ;"Публичное акционерное общество ""Межрегиональная распределительная сетевая компания Северо-Запада""";0,1;Рубль;95785923138;www.mrsksevzap.ru;www.disclosure.ru/issuer/7802312751/
Акция обыкновенная;MRKP;"Публичное акционерное общество ""Межрегиональная распределительная сетевая компания Центра и Приволжья""";0,1;Рубль;1,12698E+11;http://www.mrsk-cp.ru/disclosure/;http://www.e-disclosure.ru/portal/company.aspx?id=12093
Акция обыкновенная;MRKC;"Публичное акционерное общество ""Межрегиональная распределительная сетевая компания Центра""";0,1;Рубль;42217941468;http://www.mrsk-1.ru;http://www.e-disclosure.ru/portal/company.aspx?id=7985
Акция обыкновенная;MTLR;"Публичное акционерное общество ""Мечел""";10;Рубль;416270745;http://www.mechel.ru/shareholders/disclosure/mechel/;http://www.e-disclosure.ru/portal/company.aspx?id=1942
Акция привилегированная;MTLRP;"Публичное акционерное общество ""Мечел""";10;Рубль;138756915;http://www.mechel.ru/shareholders/disclosure/mechel/;http://www.e-disclosure.ru/portal/company.aspx?id=1942
Акция обыкновенная;MTSS;"Публичное акционерное общество ""Мобильные ТелеСистемы""";0,1;Рубль;1998381575;http://www.company.mts.ru/comp/ir/control/data/;http://www.disclosure.ru/issuer/7740000076/
Акция обыкновенная;MOEX;"Публичное акционерное общество ""Московская Биржа ММВБ-РТС""";1;Рубль;2278636493;http://moex.com/s201;http://www.e-disclosure.ru/portal/company.aspx?id=43
Акция обыкновенная;MSRS;"Публичное акционерное общество ""Московская объединенная электросетевая компания""";0,5;Рубль;48707091574;http://www.moesk.ru/invest_news/raskritie/;http://www.e-disclosure.ru/portal/company.aspx?id=5563
Акция обыкновенная;UWGN;"Публичное акционерное общество ""Научно-производственная корпорация ""Объединенная Вагонная Компания""";1;Рубль;113423948;http://www.uniwagon.com;https://www.e-disclosure.ru/portal/company.aspx?id=35102
Акция обыкновенная;LKOH;"Публичное акционерное общество ""Нефтяная компания ""ЛУКОЙЛ""";0,025;Рубль;850563255;http://www.lukoil.ru;http://www.e-disclosure.ru/portal/company.aspx?id=17
Акция обыкновенная;NLMK;"Публичное акционерное общество ""Новолипецкий металлургический комбинат""";1;Рубль;5993227240;http://lipetsk.nlmk.ru;http://www.e-disclosure.ru/portal/company.aspx?id=2509
Акция обыкновенная;NKHP;"Публичное акционерное общество ""Новороссийский комбинат хлебопродуктов""";1;Рубль;67597000;http://novoroskhp.ru;https://www.e-disclosure.ru/portal/company.aspx?id=10198
Акция обыкновенная;PLZL;"Публичное акционерное общество ""Полюс""";1;Рубль;190627747;http://www.polyus.com;www.e-disclosure.ru/portal/company.aspx?id=7832
Акция обыкновенная;PSBR;"Публичное акционерное общество ""Промсвязьбанк""";0,01;Рубль;1,11339E+12;http://www.psbank.ru/Bank/About/Emitters;http://www.e-disclosure.ru/portal/company.aspx?id=617
Акция привилегированная;RSTIP;"Публичное акционерное общество ""Российские сети""";1;Рубль;2075149384;http://www.rosseti.ru/investors/info/;http://www.e-disclosure.ru/portal/company.aspx?id=13806
Акция обыкновенная;SVAV;"Публичное акционерное общество ""СОЛЛЕРС""";12,5;Рубль;34270159;http://www.sollers-auto.com;http://www.e-disclosure.ru/portal/company.aspx?id=1324
Акция обыкновенная;SBER;"Публичное акционерное общество ""Сбербанк России""";3;Рубль;21586948000;http://www.sberbank.com;http://www.e-disclosure.ru/portal/company.aspx?id=3043
Акция привилегированная;SBERP;"Публичное акционерное общество ""Сбербанк России""";3;Рубль;1000000000;http://www.sberbank.com;http://www.e-disclosure.ru/portal/company.aspx?id=3043
Российская депозитарная расписка;RUALR;"Публичное акционерное общество ""Сбербанк России""";;;2000000000;http://www.sberbank.com;http://www.e-disclosure.ru/portal/company.aspx?id=3043
Акция обыкновенная;CHMF;"Публичное акционерное общество ""Северсталь""";0,01;Рубль;837718660;http://www.severstal.com/rus/ir/disclosers/;http://www.e-disclosure.ru/portal/company.aspx?id=30
Акция обыкновенная;SELG;"Публичное акционерное общество ""Селигдар""";1;Рубль;737354730;http://www.seligdar.ru/;https://www.e-disclosure.ru/portal/company.aspx?id=12557
Акция привилегированная;SELGP;"Публичное акционерное общество ""Селигдар""";1;Рубль;150000000;http://www.seligdar.ru/;https://www.e-disclosure.ru/portal/company.aspx?id=12557
Акция обыкновенная;SYNG;"Публичное акционерное общество ""Синергия""";100;Рубль;24954049;http://www.sygroup.ru/investor_center/;http://www.e-disclosure.ru/portal/company.aspx?id=7380
Акция обыкновенная;TATN;"Публичное акционерное общество ""Татнефть"" имени В.Д. Шашина";1;Рубль;2178690700;http://www.tatneft.ru;http://disclosure.skrin.ru/disclosure/1644003838
Акция привилегированная;TATNP;"Публичное акционерное общество ""Татнефть"" имени В.Д. Шашина";1;Рубль;147508500;http://www.tatneft.ru;http://disclosure.skrin.ru/disclosure/1644003838
Акция обыкновенная;TGKA;"Публичное акционерное общество ""Территориальная генерирующая компания №1""";0,01;Рубль;3,85434E+12;http://www.tgc1.ru/ir/disclosure/substantial/;http://www.e-disclosure.ru/portal/company.aspx?id=7263
Акция привилегированная;TRNFP;"Публичное акционерное общество ""Транснефть""";1;Рубль;1554875;http://www.transneft.ru/;http://www.e-disclosure.ru/portal/company.aspx?id=636
Акция обыкновенная;TRMK;"Публичное акционерное общество ""Трубная Металлургическая Компания""";10;Рубль;1035907260;https://www.tmk-group.ru/;http://www.e-disclosure.ru/portal/company.aspx?id=274
Акция обыкновенная;URKA;"Публичное акционерное общество ""Уралкалий""";0,5;Рубль;2936015891;http://www.uralkali.com/ru;http://www.e-disclosure.ru/portal/company.aspx?id=1233
Акция обыкновенная;HYDR;"Публичное акционерное общество ""Федеральная гидрогенерирующая компания - РусГидро""";1;Рубль;3,86255E+11;http://www.rushydro.ru;http://www.e-disclosure.ru/portal/company.aspx?id=8580
Акция обыкновенная;FEES;"Публичное акционерное общество ""Федеральная сетевая компания Единой энергетической системы""";0,5;Рубль;1,27467E+12;http://www.fsk-ees.ru/shareholders_and_investors/disclosure_of_information/;http://www.e-disclosure.ru/portal/company.aspx?id=379
Акция обыкновенная;PHOR;"Публичное акционерное общество ""ФосАгро""";2,5;Рубль;129500000;http://www.phosagro.ru/ori/item4157.php;http://www.e-disclosure.ru/portal/company.aspx?id=573
Акция обыкновенная;WTCM;"Публичное акционерное общество ""Центр международной торговли""";1;Рубль;1083000000;http://wtcmoscow.ru/about/sharers/;http://www.e-disclosure.ru/portal/company.aspx?id=9304
Акция обыкновенная;TRCN;"Публичное акционерное общество ""Центр по перевозке грузов в контейнерах ""ТрансКонтейнер""";1000;Рубль;13894778;http://www.trcont.ru/ru/investoram/;http://www.e-disclosure.ru/portal/company.aspx?id=11194
Акция обыкновенная;ENRU;"Публичное акционерное общество ""Энел Россия""";1;Рубль;35371898370;http://www.enelrussia.ru;http://www.e-disclosure.ru/portal/company.aspx?id=5732
Акция обыкновенная;UPRO;"Публичное акционерное общество ""Юнипро""";0,4;Рубль;63048706145;http://www.unipro.energy/;http://www.e-disclosure.ru/portal/company.aspx?id=7878
Акция обыкновенная;VZRZ;"Публичное акционерное общество Банк ""Возрождение""";10;Рубль;23748694;http://www.vbank.ru/;http://www.e-disclosure.ru//portal/company.aspx?id=120
Акция обыкновенная;OFCB;"Публичное акционерное общество Банк ""Финансовая Корпорация Открытие""";50;Рубль;157158049;http://www.otkritiefc.ru/about/openinfo/;www.e-disclosure.ru/portal/company.aspx?id=235
Акция обыкновенная;RGSS;"Публичное акционерное общество Страховая Компания ""Росгосстрах""";0,04;Рубль;4,64504E+11;http://www.oao-rgs.ru/about/investors/oao/index.wbp;http://www.e-disclosure.ru/portal/company.aspx?id=214
Акция обыкновенная;RTKM;"Публичное акционерное общество междугородной и международной электрической связи ""Ростелеком""";0,0025;Рубль;2574914954;http://www.rostelecom.ru;http://www.e-disclosure.ru/portal/company.aspx?id=141
Акция привилегированная;RTKMP;"Публичное акционерное общество междугородной и международной электрической связи ""Ростелеком""";0,0025;Рубль;209565147;http://www.rostelecom.ru;http://www.e-disclosure.ru/portal/company.aspx?id=141
Акция обыкновенная;MSNG;"Публичное акционерное общество энергетики и электрификации ""Мосэнерго""";1;Рубль;39749359700;www.mosenergo.ru;http://www.e-disclosure.ru/portal/company.aspx?id=936
Акции иностранного эмитента;RUAL;Юнайтед Компани РУСАЛ Плс (United Company RUSAL Plc);0,01;Доллар США;15193014862;http://rusal.ru/investors/info/moex/;http://e-disclosure.ru/portal/company.aspx?id=35101
Акция обыкновенная;ROSN;"публичное акционерное общество ""Нефтяная компания ""Роснефть""";0,01;Рубль;10598177817;https://www.rosneft.ru/;http://www.e-disclosure.ru/portal/company.aspx?id=6505
Акция обыкновенная;AVAZ;"Открытое акционерное общество ""АВТОВАЗ""";5;Рубль;1822463131;www.lada.ru;http://skrin.ru/issuers/avaz
Акция привилегированная;AVAZP;"Открытое акционерное общество ""АВТОВАЗ""";5;Рубль;461764300;www.lada.ru;http://skrin.ru/issuers/avaz
Акция обыкновенная;GAZT;"Открытое акционерное общество ""ГАЗ-Тек""";100;Рубль;471428300;http://www.gaz-tek.ru;http://www.e-disclosure.ru/portal/company.aspx?id=29479
Акция обыкновенная;GAZS;"Открытое акционерное общество ""ГАЗ-сервис""";10;Рубль;185125000;http://www.gaz-services.ru;http://www.e-disclosure.ru/portal/company.aspx?id=12078
Акция обыкновенная;GAZC;"Открытое акционерное общество ""ГАЗКОН""";10;Рубль;185125000;http://gazcon.ru;http://www.e-disclosure.ru/portal/company.aspx?id=11633
Акция обыкновенная;SNGS;"Открытое акционерное общество ""Сургутнефтегаз""";1;Рубль;35725994705;http://www.surgutneftegas.ru/ru/tos/;http://www.e-disclosure.ru/portal/company.aspx?id=312
Акция привилегированная;SNGSP;"Открытое акционерное общество ""Сургутнефтегаз""";1;Рубль;7701998235;http://www.surgutneftegas.ru/ru/tos/;http://www.e-disclosure.ru/portal/company.aspx?id=312
Акция обыкновенная;TGKB;"Открытое акционерное общество ""Территориальная генерирующая компания №2""";0,01;Рубль;1,4584E+12;http://www.tgc-2.ru/investors/disclosure/;http://www.e-disclosure.ru/portal/company.aspx?id=7968
Акция обыкновенная;KBTK;"Публичное  акционерное общество ""Кузбасская Топливная Компания""";0,2;Рубль;99258355;http://www.oaoktk.ru;http://www.e-disclosure.ru/portal/company.aspx?id=5964
Акция обыкновенная;AQUA;"Публичное  акционерное общество ""Русская Аквакультура""";100;Рубль;79537651;https://russaquaculture.ru/index.php?id=16&L=2%27;http://www.e-disclosure.ru/portal/company.aspx?id=17531
Акция обыкновенная;APTK;"Публичное акционерное общество ""Аптечная сеть 36,6""";0,64;Рубль;976450868;http://pharmacychain366.ru/corporate/disclosure/;http://www.e-disclosure.ru/portal/company.aspx?id=1216
Акция обыкновенная;AMEZ;"Публичное акционерное общество ""Ашинский металлургический завод""";1;Рубль;498454822;http://www.amet.ru;http://www.e-disclosure.ru/portal/company.aspx?id=1334
